target_id	length	eff_length	est_counts	tpm
GENE_00001	540	440	537	1220.455
GENE_00002	1689	1589	409	257.395
GENE_00003	448	348	465	1336.207
GENE_00004	397	297	479	1612.795
GENE_00005	991	891	500	561.167
GENE_00006	1984	1884	574	304.671
GENE_00007	1963	1863	399	214.171
GENE_00008	1059	959	538	561.001
GENE_00009	1394	1294	644	497.682
GENE_00010	1063	963	588	610.592
GENE_00011	1777	1677	582	347.048
GENE_00012	771	671	351	523.1
GENE_00013	937	837	521	622.461
GENE_00014	1774	1674	425	253.883
GENE_00015	936	836	595	711.722
GENE_00016	942	842	570	676.96
GENE_00017	747	647	493	761.978
GENE_00018	1757	1657	329	198.552
GENE_00019	811	711	403	566.807
GENE_00020	464	364	548	1505.495
GENE_00021	1196	1096	295	269.161
GENE_00022	442	342	579	1692.982
GENE_00023	1330	1230	441	358.537
GENE_00024	956	856	620	724.299
GENE_00025	1914	1814	430	237.045
GENE_00026	825	725	487	671.724
GENE_00027	1182	1082	552	510.166
GENE_00028	1648	1548	413	266.796
GENE_00029	1992	1892	420	221.987
GENE_00030	1689	1589	429	269.981
GENE_00031	1689	1589	255	160.478
GENE_00032	1665	1565	307	196.166
GENE_00033	1763	1663	392	235.719
GENE_00034	704	604	514	850.993
GENE_00035	1007	907	569	627.343
GENE_00036	904	804	482	599.502
GENE_00037	695	595	590	991.597
GENE_00038	1916	1816	390	214.758
GENE_00039	1610	1510	473	313.245
GENE_00040	1841	1741	579	332.567
GENE_00041	1746	1646	502	304.982
GENE_00042	1007	907	669	737.596
GENE_00043	1644	1544	442	286.269
GENE_00044	1389	1289	507	393.328
GENE_00045	714	614	562	915.309
GENE_00046	1676	1576	480	304.569
GENE_00047	1830	1730	594	343.353
GENE_00048	1950	1850	473	255.676
GENE_00049	1209	1109	548	494.139
GENE_00050	1813	1713	449	262.113
