target_id	length	eff_length	est_counts	tpm
GENE_00001	1153	1053	944	896.486
GENE_00002	1569	1469	1161	790.334
GENE_00003	1872	1772	952	537.246
GENE_00004	1874	1774	937	528.185
GENE_00005	888	788	1134	1439.086
GENE_00006	515	415	1154	2780.723
GENE_00007	1951	1851	1055	569.962
GENE_00008	419	319	1309	4103.448
GENE_00009	1153	1053	1002	951.567
GENE_00010	1582	1482	1504	1014.845
GENE_00011	1755	1655	1018	615.106
GENE_00012	1849	1749	1059	605.489
GENE_00013	505	405	1391	3434.568
GENE_00014	1116	1016	1111	1093.504
GENE_00015	1916	1816	1203	662.445
GENE_00016	563	463	897	1937.365
GENE_00017	567	467	996	2132.762
GENE_00018	1722	1622	575	354.501
GENE_00019	1737	1637	602	367.746
GENE_00020	1764	1664	873	524.639
GENE_00021	666	566	684	1208.481
GENE_00022	1248	1148	828	721.254
GENE_00023	1472	1372	879	640.671
GENE_00024	676	576	557	967.014
GENE_00025	1993	1893	1203	635.499
GENE_00026	1473	1373	472	343.773
GENE_00027	1581	1481	880	594.193
GENE_00028	647	547	640	1170.018
GENE_00029	453	353	246	696.884
GENE_00030	1371	1271	648	509.835
GENE_00031	331	231	950	4112.554
GENE_00032	447	347	926	2668.588
GENE_00033	987	887	742	836.528
GENE_00034	1693	1593	738	463.277
GENE_00035	1391	1291	746	577.847
GENE_00036	953	853	548	642.438
GENE_00037	1147	1047	519	495.702
GENE_00038	397	297	605	2037.037
GENE_00039	1113	1013	658	649.556
GENE_00040	770	670	555	828.358
GENE_00041	1437	1337	528	394.914
GENE_00042	1199	1099	436	396.724
GENE_00043	417	317	472	1488.959
GENE_00044	1949	1849	378	204.435
GENE_00045	686	586	593	1011.945
GENE_00046	864	764	586	767.016
GENE_00047	1645	1545	397	256.958
GENE_00048	705	605	668	1104.132
GENE_00049	1888	1788	307	171.7
GENE_00050	1636	1536	440	286.458
